citizen_id,scheme_id,gold,pred_seed42,prob_seed42,pred_seed7,prob_seed7,pred_seed2025,prob_seed2025
CP-078,IW600-TN-TN-052,0,0,0.0249,0,0.0762,0,0.0821
CP-030,IW600-TN-TN-002,0,0,0.016,0,0.051,0,0.0248
CP-090,IW600-MS-CEN-005,0,0,0.0298,0,0.0536,0,0.0587
CP-043,IW600-MS-MH-019,0,0,0.0441,0,0.0958,0,0.0368
CP-021,IW600-MS-CEN-006,1,1,0.9437,1,0.7059,0,0.3011
CP-033,IW600-JS-CEN-004,1,1,0.9872,1,0.989,1,0.9864
CP-080,IW600-JS-CEN-001,1,1,0.9615,1,0.9611,1,0.9823
CP-018,IW600-MS-KA-020,0,1,0.6182,0,0.3509,0,0.0659
CP-042,IW600-MS-CH-008,0,0,0.0777,0,0.2245,0,0.1086
CP-047,IW600-UK-GBR-054,0,0,0.1507,0,0.0273,0,0.0606
CP-022,IW600-TN-TN-080,0,0,0.0378,0,0.0454,0,0.0172
CP-065,IW600-MS-DN-002,0,0,0.0365,0,0.0874,0,0.0216
CP-062,IW600-JS-CEN-013,0,0,0.033,0,0.0249,0,0.0662
CP-030,IW600-MS-GJ-016,0,0,0.0191,0,0.0474,0,0.036
CP-084,IW600-JS-CEN-013,0,0,0.0307,0,0.0293,0,0.0138
CP-040,IW600-TN-TN-074,0,0,0.056,0,0.0383,0,0.013
CP-015,IW600-MS-KA-015,0,0,0.0581,1,0.7458,0,0.0381
CP-038,IW600-MS-CEN-001,0,0,0.0559,0,0.0991,0,0.0261
CP-024,IW600-JS-CEN-012,1,1,0.9857,1,0.9857,1,0.9949
CP-063,IW600-TN-TN-115,0,0,0.0685,0,0.0527,0,0.0251
CP-030,IW600-JS-CEN-009,0,0,0.0859,1,0.9182,0,0.3626
CP-015,IW600-MS-RJ-014,0,0,0.0419,0,0.1924,0,0.0653
CP-001,IW600-TN-TN-055,1,1,0.7194,1,0.9731,1,0.9643
CP-097,IW600-JS-CEN-004,1,1,0.9925,1,0.9904,1,0.9952
CP-091,IW600-US-USA-024,0,0,0.1266,0,0.1436,0,0.0257
CP-064,IW600-MS-BR-012,1,0,0.2552,0,0.1206,1,0.8323
CP-058,IW600-TN-TN-130,0,0,0.0156,0,0.0353,0,0.012
CP-087,IW600-MS-CEN-002,1,1,0.9868,1,0.992,1,0.9955
CP-061,IW600-MS-GJ-009,0,0,0.0482,0,0.043,0,0.0665
CP-100,IW600-US-USA-045,0,1,0.6648,0,0.2326,0,0.3208
CP-080,IW600-UK-GBR-010,0,0,0.0416,0,0.0529,0,0.0627
CP-007,IW600-MS-GJ-016,0,0,0.0244,0,0.0217,0,0.0121
CP-048,IW600-MS-GA-005,0,0,0.0207,0,0.4822,0,0.0152
CP-040,IW600-UK-GBR-032,0,0,0.0518,0,0.0378,0,0.0134
CP-002,IW600-MS-CG-017,0,0,0.343,0,0.0828,0,0.0125
CP-067,IW600-MS-CEN-001,0,0,0.0548,0,0.0457,0,0.0489
CP-074,IW600-MS-SK-001,0,0,0.1078,0,0.1725,0,0.1321
CP-002,IW600-TN-TN-094,1,1,0.6801,1,0.9126,1,0.9691
CP-055,IW600-MS-KL-015,0,0,0.0316,0,0.0361,0,0.0699
CP-030,IW600-MS-UP-004,0,0,0.0471,0,0.062,0,0.0306
CP-032,IW600-TN-TN-086,0,0,0.0223,0,0.064,0,0.0115
CP-016,IW600-MS-KL-002,0,0,0.303,1,0.5719,1,0.5197
CP-091,IW600-MS-AR-007,1,1,0.9624,1,0.9691,1,0.9569
CP-050,IW600-JS-CEN-012,1,1,0.9866,1,0.9894,1,0.9832
CP-036,IW600-UK-GBR-059,0,0,0.0182,0,0.0259,0,0.0173
CP-025,IW600-JS-CEN-014,1,1,0.9905,1,0.9746,1,0.9942
CP-015,IW600-MS-CEN-003,1,0,0.1708,0,0.2061,0,0.1019
CP-028,IW600-MS-UP-002,0,1,0.8873,0,0.2234,0,0.2746
CP-067,IW600-TN-TN-052,0,0,0.0707,0,0.0497,0,0.0784
CP-001,IW600-JS-CEN-004,1,1,0.9873,1,0.9788,1,0.9857
CP-049,IW600-TN-TN-053,0,0,0.0704,0,0.0225,0,0.0349
CP-021,IW600-MS-AP-013,0,0,0.1941,0,0.0288,0,0.0235
CP-032,IW600-UK-GBR-028,0,0,0.0227,0,0.0367,0,0.0124
CP-064,IW600-MS-BR-006,0,0,0.0985,0,0.065,0,0.0244
CP-042,IW600-UK-GBR-011,0,0,0.0259,0,0.0764,0,0.0576
CP-015,IW600-TN-TN-099,0,0,0.0342,0,0.1468,0,0.0412
CP-078,IW600-TN-TN-082,0,0,0.0241,0,0.0658,0,0.0749
CP-096,IW600-MS-KA-008,0,1,0.5374,0,0.0923,0,0.186
CP-093,IW600-MS-CEN-001,0,0,0.0173,0,0.0415,0,0.0386
CP-042,IW600-US-USA-008,0,0,0.0822,0,0.1237,0,0.0714
CP-079,IW600-MS-CEN-002,1,1,0.9918,1,0.9877,1,0.9899
CP-042,IW600-TN-TN-022,0,1,0.8027,1,0.6013,0,0.3298
CP-047,IW600-MS-MH-009,0,0,0.1478,0,0.0293,0,0.0142
CP-059,IW600-JS-CEN-006,0,0,0.0569,0,0.0407,0,0.068
CP-045,IW600-UK-GBR-049,0,0,0.0226,0,0.0463,0,0.0331
CP-023,IW600-MS-KL-019,0,0,0.0229,0,0.4327,0,0.1064
CP-073,IW600-JS-CEN-010,0,0,0.3743,0,0.1052,1,0.9142
CP-096,IW600-MS-KA-015,0,1,0.8998,1,0.9012,1,0.8284
CP-055,IW600-TN-TN-125,0,1,0.5996,0,0.0661,0,0.2926
CP-011,IW600-JS-CEN-012,1,1,0.9871,1,0.987,1,0.9869
CP-007,IW600-UK-GBR-025,0,0,0.0588,0,0.0303,0,0.0574
CP-072,IW600-MS-KA-020,0,0,0.0352,0,0.368,0,0.0704
CP-100,IW600-UK-GBR-037,0,0,0.0242,0,0.0365,0,0.1352
CP-079,IW600-UK-GBR-017,0,0,0.0574,0,0.0381,0,0.0578
CP-096,IW600-JS-CEN-001,1,1,0.9913,1,0.9797,1,0.9818
CP-007,IW600-MS-UP-018,0,0,0.0264,0,0.0232,0,0.0126
CP-001,IW600-MS-CEN-005,0,0,0.0413,0,0.0307,0,0.0412
CP-079,IW600-TN-TN-010,0,0,0.0617,0,0.0544,0,0.0736
CP-016,IW600-TN-TN-073,0,0,0.0634,0,0.2241,0,0.0165
CP-078,IW600-MS-CG-016,1,0,0.1621,0,0.0904,0,0.0767
CP-061,IW600-MS-CG-017,0,0,0.2487,0,0.0632,0,0.0747
CP-007,IW600-JS-CEN-014,1,1,0.9862,1,0.9886,1,0.9817
CP-091,IW600-MS-UP-007,0,0,0.0258,0,0.0429,0,0.0157
CP-017,IW600-MS-CEN-005,0,0,0.1897,0,0.0374,0,0.0507
CP-056,IW600-MS-GJ-016,0,0,0.0905,0,0.0302,0,0.0379
CP-035,IW600-JS-CEN-004,1,1,0.9825,1,0.9875,1,0.9834
CP-059,IW600-JS-CEN-007,0,1,0.9929,1,0.9811,1,0.9862
CP-006,IW600-TN-TN-057,1,1,0.9282,1,0.7691,1,0.9601
CP-053,IW600-MS-GJ-001,0,0,0.2564,0,0.08,0,0.0254
CP-013,IW600-MS-KA-009,0,0,0.0238,0,0.0526,0,0.0144
CP-066,IW600-UK-GBR-058,0,0,0.015,0,0.0155,0,0.0533
CP-015,IW600-MS-CEN-005,0,0,0.1727,0,0.0611,0,0.0509
CP-048,IW600-MS-MH-003,0,0,0.1101,1,0.6467,0,0.2702
CP-029,IW600-MS-UP-017,0,0,0.1973,0,0.0382,0,0.1749
CP-081,IW600-US-USA-043,0,0,0.0242,0,0.0531,0,0.0164
CP-015,IW600-MS-KA-018,0,0,0.0364,0,0.0895,0,0.0261
CP-097,IW600-MS-RJ-006,0,0,0.075,0,0.0317,0,0.0411
CP-005,IW600-TN-TN-050,1,0,0.4328,1,0.9805,1,0.9888
CP-030,IW600-JS-CEN-001,1,1,0.9791,1,0.9547,1,0.9468
CP-097,IW600-MS-AS-008,0,0,0.1201,0,0.0481,0,0.0701
CP-020,IW600-MS-AP-005,0,0,0.0363,0,0.0349,0,0.0151
CP-073,IW600-JS-CEN-006,0,0,0.0468,0,0.0558,0,0.1597
CP-091,IW600-JS-CEN-012,1,1,0.9865,1,0.9897,1,0.984
CP-002,IW600-UK-GBR-001,0,0,0.0258,0,0.128,0,0.0442
CP-063,IW600-MS-BR-001,0,0,0.0806,0,0.0477,0,0.0994
CP-064,IW600-UK-GBR-030,0,0,0.0508,0,0.0373,0,0.0156
CP-042,IW600-TN-TN-087,0,0,0.0347,0,0.0675,0,0.0804
CP-088,IW600-MS-CEN-005,0,0,0.2611,0,0.0526,0,0.0433
CP-004,IW600-MS-CEN-002,1,1,0.9945,1,0.992,1,0.988
CP-083,IW600-TN-TN-042,0,0,0.0227,0,0.0545,0,0.0599
CP-048,IW600-UK-GBR-021,0,0,0.0229,0,0.1945,0,0.0676
CP-026,IW600-MS-UP-003,1,0,0.0784,0,0.2215,0,0.0308
CP-046,IW600-MS-AS-019,0,0,0.4661,0,0.4475,0,0.0948
CP-017,IW600-UK-GBR-051,0,0,0.0166,0,0.0226,0,0.0263
CP-013,IW600-MS-AP-013,0,0,0.1597,0,0.0603,0,0.0226
CP-026,IW600-JS-CEN-015,0,0,0.1152,0,0.2309,1,0.8345
CP-090,IW600-MS-CEN-002,1,1,0.9872,1,0.9901,1,0.9899
CP-081,IW600-TN-TN-053,0,0,0.0216,0,0.0627,0,0.0206
CP-088,IW600-JS-CEN-013,0,0,0.0817,0,0.0395,0,0.0168
CP-081,IW600-UK-GBR-051,0,0,0.0224,0,0.0492,0,0.012
CP-015,IW600-MS-KL-018,0,0,0.2414,0,0.3371,0,0.0376
CP-091,IW600-UK-GBR-018,0,0,0.0231,0,0.0236,0,0.0118
CP-060,IW600-JS-CEN-006,0,0,0.0412,0,0.0601,0,0.0574
CP-005,IW600-MS-AN-003,0,0,0.0747,0,0.0942,0,0.0149
CP-030,IW600-TN-TN-103,0,0,0.0162,0,0.0482,0,0.0232
CP-048,IW600-MS-MH-011,0,0,0.2107,0,0.3397,0,0.1393
CP-082,IW600-JS-CEN-011,0,1,0.7258,1,0.5924,1,0.6884
CP-097,IW600-TN-TN-127,0,0,0.1484,0,0.0237,0,0.035
CP-097,IW600-MS-KA-011,0,1,0.9352,0,0.1023,1,0.5068
CP-012,IW600-MS-AN-011,0,0,0.041,0,0.056,0,0.2039
CP-015,IW600-TN-TN-073,0,0,0.0544,0,0.1226,0,0.0434
CP-069,IW600-UK-GBR-039,0,0,0.0194,0,0.034,0,0.0284
CP-072,IW600-UK-GBR-033,0,0,0.0285,0,0.1377,0,0.0687
CP-029,IW600-US-USA-033,0,0,0.0544,0,0.148,0,0.0664
CP-031,IW600-JS-CEN-004,1,1,0.9875,1,0.9887,1,0.99
CP-047,IW600-JS-CEN-003,1,0,0.1298,0,0.3967,0,0.0584
CP-055,IW600-MS-HP-014,0,0,0.0275,0,0.0392,0,0.0484
CP-050,IW600-MS-MH-014,0,0,0.0858,0,0.0833,0,0.0781
CP-030,IW600-US-USA-009,0,0,0.0263,0,0.0441,0,0.0251
CP-021,IW600-MS-AP-017,0,0,0.0776,0,0.0308,0,0.07
CP-051,IW600-MS-CEN-002,1,1,0.9952,1,0.9903,1,0.9881
CP-057,IW600-MS-GJ-001,0,0,0.0419,0,0.0337,0,0.0858
CP-083,IW600-MS-AP-006,0,0,0.0518,0,0.0355,0,0.0333
CP-040,IW600-US-USA-010,0,0,0.0917,0,0.0401,0,0.0289
CP-008,IW600-MS-CEN-002,1,1,0.987,1,0.9919,1,0.9899
CP-100,IW600-US-USA-033,0,1,0.5454,0,0.1146,0,0.085
CP-063,IW600-MS-CEN-002,1,1,0.9917,1,0.992,1,0.9894
CP-091,IW600-US-USA-012,0,0,0.0279,0,0.0375,0,0.0474
CP-011,IW600-TN-TN-015,0,0,0.031,0,0.0532,0,0.0394
CP-055,IW600-US-USA-023,0,0,0.0957,0,0.0521,0,0.0686
CP-100,IW600-US-USA-019,0,0,0.0786,0,0.0528,0,0.0436
CP-022,IW600-MS-AP-005,0,0,0.0305,0,0.0409,0,0.0432
CP-073,IW600-JS-CEN-013,0,0,0.0784,0,0.0514,0,0.0338
CP-015,IW600-MS-RJ-017,0,0,0.0383,0,0.1109,0,0.0263
CP-055,IW600-MS-HP-004,0,0,0.051,0,0.0894,0,0.0657
CP-092,IW600-MS-AR-007,1,1,0.973,1,0.9401,1,0.9365
CP-099,IW600-JS-CEN-004,1,1,0.9764,1,0.9911,1,0.9863
CP-021,IW600-MS-DL-002,0,0,0.1147,0,0.0319,0,0.0179
CP-061,IW600-UK-GBR-057,0,0,0.0259,0,0.038,0,0.052
CP-030,IW600-JS-CEN-005,0,1,0.5796,0,0.0629,0,0.0386
CP-055,IW600-MS-BR-012,0,1,0.9789,0,0.0722,1,0.6679
CP-007,IW600-MS-MH-013,0,0,0.0242,0,0.0213,0,0.0115
CP-004,IW600-TN-TN-067,0,0,0.2102,0,0.0395,0,0.0764
CP-002,IW600-MS-CH-012,0,0,0.0308,0,0.0443,0,0.0135
CP-077,IW600-MS-CG-001,0,0,0.0509,0,0.1444,0,0.185
CP-052,IW600-MS-GJ-001,0,0,0.0394,0,0.0439,0,0.0348
CP-052,IW600-MS-GJ-007,1,0,0.0256,0,0.0426,0,0.0295
CP-080,IW600-JS-CEN-013,0,0,0.0355,0,0.038,0,0.0346
CP-075,IW600-JS-CEN-004,1,1,0.9921,1,0.987,1,0.9933
CP-007,IW600-MS-GA-003,0,0,0.4615,1,0.8572,0,0.0194
CP-085,IW600-TN-TN-125,0,0,0.0332,0,0.0286,0,0.0306
CP-020,IW600-UK-GBR-030,0,0,0.0161,0,0.0252,0,0.0249
CP-008,IW600-TN-TN-073,0,0,0.0229,0,0.0513,0,0.1105
CP-044,IW600-MS-RJ-017,0,0,0.0255,0,0.1361,0,0.0119
CP-080,IW600-TN-TN-116,0,0,0.051,0,0.0465,0,0.031
CP-042,IW600-MS-KA-001,0,0,0.0302,0,0.0876,0,0.0543
CP-034,IW600-JS-CEN-013,0,0,0.1011,0,0.0998,0,0.0182
CP-016,IW600-MS-AP-018,0,1,0.5458,0,0.2141,1,0.972
CP-013,IW600-MS-CEN-006,1,1,0.9914,1,0.9249,0,0.3994
CP-073,IW600-MS-CEN-006,0,1,0.9917,1,0.982,1,0.9635
CP-049,IW600-MS-MH-007,0,0,0.0583,0,0.029,0,0.0334
CP-098,IW600-MS-AP-010,0,1,0.969,1,0.97,0,0.3445
CP-012,IW600-MS-AP-012,0,0,0.0271,0,0.0166,0,0.0299
CP-082,IW600-UK-GBR-028,0,0,0.0512,0,0.0598,0,0.054
CP-019,IW600-MS-AP-016,0,0,0.202,0,0.4658,0,0.0632
CP-097,IW600-TN-TN-053,0,0,0.1039,0,0.0263,0,0.0352
CP-019,IW600-MS-AP-018,1,0,0.0745,0,0.1518,0,0.0643
CP-063,IW600-JS-CEN-006,0,0,0.0585,0,0.0552,0,0.0558
CP-050,IW600-TN-TN-039,0,0,0.0222,0,0.0232,0,0.0119
CP-047,IW600-MS-MH-001,0,0,0.1403,0,0.1199,0,0.034
CP-061,IW600-UK-GBR-041,0,0,0.0357,0,0.0491,0,0.0558
CP-047,IW600-JS-CEN-012,1,1,0.9933,1,0.9896,1,0.9842
CP-083,IW600-MS-CG-001,0,0,0.0237,0,0.0187,0,0.0372
CP-034,IW600-MS-CEN-001,0,0,0.0241,0,0.1676,0,0.0205
CP-006,IW600-MS-UP-015,0,0,0.0161,0,0.017,0,0.0275
CP-023,IW600-MS-BR-001,0,0,0.2324,0,0.0746,0,0.0729
CP-092,IW600-US-USA-029,0,0,0.0567,0,0.0384,0,0.0561
CP-006,IW600-JS-CEN-002,0,0,0.0285,0,0.1118,0,0.1095
CP-014,IW600-TN-TN-102,0,0,0.0339,0,0.069,0,0.0167
CP-004,IW600-TN-TN-117,1,0,0.1978,0,0.0476,0,0.4306
CP-056,IW600-MS-GJ-001,0,0,0.045,0,0.0334,0,0.026
CP-039,IW600-MS-CEN-002,1,1,0.9947,1,0.9894,1,0.9892
CP-014,IW600-MS-DL-011,0,0,0.0293,0,0.0719,0,0.0202
CP-060,IW600-MS-CEN-006,0,1,0.9919,1,0.9805,1,0.9654
CP-065,IW600-MS-GA-013,0,0,0.0236,0,0.0434,0,0.0183
CP-006,IW600-TN-TN-106,1,1,0.9684,1,0.904,1,0.9777
CP-099,IW600-MS-GA-020,0,1,0.9371,1,0.9695,1,0.8327
CP-034,IW600-MS-CEN-002,1,1,0.9951,1,0.9916,1,0.9886
CP-019,IW600-US-USA-021,0,1,0.6472,0,0.2203,0,0.076
CP-015,IW600-MS-KL-008,0,0,0.4222,1,0.9014,1,0.5118
CP-030,IW600-TN-TN-099,0,0,0.0223,0,0.0484,0,0.0281
CP-042,IW600-US-USA-045,0,0,0.1272,0,0.1228,0,0.0642
CP-050,IW600-US-USA-010,0,0,0.0304,0,0.0287,0,0.0242
CP-029,IW600-MS-UP-019,0,0,0.1568,1,0.6865,0,0.36
CP-030,IW600-MS-CG-004,0,0,0.0187,0,0.0479,0,0.0252
CP-084,IW600-JS-CEN-008,0,0,0.0702,0,0.0301,0,0.0419
CP-006,IW600-TN-TN-131,1,1,0.957,1,0.9569,1,0.9811
CP-014,IW600-MS-KL-008,0,0,0.4744,1,0.8229,1,0.8659
CP-024,IW600-TN-TN-049,0,0,0.0178,0,0.0385,0,0.0179
CP-089,IW600-JS-CEN-011,1,0,0.176,0,0.0233,0,0.0309
CP-064,IW600-UK-GBR-022,0,0,0.0662,0,0.0432,0,0.0218
CP-006,IW600-TN-TN-094,1,1,0.9795,1,0.965,1,0.9826
CP-089,IW600-JS-CEN-013,0,0,0.0289,0,0.0235,0,0.0231
CP-007,IW600-MS-RJ-018,0,0,0.0216,0,0.021,0,0.0118
CP-097,IW600-JS-CEN-006,0,0,0.0947,0,0.049,0,0.0266
CP-091,IW600-MS-CG-016,0,0,0.0256,0,0.0294,0,0.013
CP-097,IW600-JS-CEN-001,1,1,0.9916,1,0.9834,1,0.991
CP-023,IW600-MS-HR-006,0,0,0.0183,0,0.036,0,0.0333
CP-091,IW600-MS-KL-006,0,0,0.0472,0,0.1631,0,0.1124
CP-053,IW600-UK-GBR-002,0,1,0.911,1,0.8048,1,0.9256
CP-036,IW600-TN-TN-105,0,0,0.019,0,0.0277,0,0.0128
CP-013,IW600-MS-CEN-002,1,1,0.9944,1,0.9891,1,0.9954
CP-031,IW600-TN-TN-049,0,0,0.0219,0,0.0247,0,0.0189
CP-042,IW600-UK-GBR-020,0,0,0.0271,0,0.1257,0,0.0658
CP-063,IW600-JS-CEN-007,1,1,0.9876,1,0.9823,1,0.9847
CP-042,IW600-TN-TN-075,0,0,0.0464,0,0.0744,0,0.0752
CP-100,IW600-JS-CEN-005,0,1,0.9501,1,0.5073,0,0.4898
CP-062,IW600-TN-TN-086,0,0,0.035,0,0.0172,0,0.0655
CP-098,IW600-MS-CEN-005,1,0,0.0316,0,0.0625,0,0.0243
CP-077,IW600-MS-CEN-004,0,1,0.942,1,0.7331,1,0.9644
CP-004,IW600-JS-CEN-008,0,0,0.1437,0,0.0426,0,0.0882
CP-084,IW600-MS-KL-001,0,0,0.0401,0,0.0235,0,0.015
CP-052,IW600-MS-GJ-013,0,0,0.0249,0,0.0384,0,0.0294
CP-060,IW600-UK-GBR-007,0,0,0.0185,0,0.0223,0,0.0263
CP-039,IW600-MS-CEN-001,0,0,0.0256,0,0.0605,0,0.0233
CP-002,IW600-TN-TN-104,1,1,0.739,1,0.9299,1,0.9823
CP-077,IW600-MS-CG-009,0,0,0.0297,0,0.0453,0,0.0309
CP-077,IW600-MS-AR-005,0,0,0.0246,0,0.0725,0,0.0416
CP-049,IW600-MS-CEN-002,1,1,0.9918,1,0.9902,1,0.9879
CP-006,IW600-TN-TN-087,0,0,0.1871,0,0.3526,1,0.816
CP-024,IW600-MS-AP-018,0,1,0.8895,1,0.7707,1,0.9174
CP-085,IW600-MS-CEN-001,0,0,0.0308,0,0.0165,0,0.0256
CP-037,IW600-MS-RJ-002,0,0,0.2881,0,0.0926,1,0.5893
CP-038,IW600-UK-GBR-042,0,0,0.068,0,0.1073,0,0.0334
CP-007,IW600-JS-CEN-004,1,1,0.9869,1,0.9885,1,0.984
CP-072,IW600-MS-RJ-020,0,0,0.0225,0,0.1108,0,0.0685
CP-018,IW600-MS-CEN-003,0,1,0.8695,0,0.2078,0,0.341
CP-007,IW600-MS-RJ-002,0,0,0.0228,0,0.0189,0,0.012
CP-031,IW600-UK-GBR-022,0,0,0.0262,0,0.0308,0,0.0136
CP-021,IW600-JS-CEN-013,0,0,0.1026,0,0.0193,0,0.0146
CP-083,IW600-US-USA-003,0,0,0.0275,0,0.015,0,0.0354
CP-048,IW600-UK-GBR-012,0,0,0.0159,0,0.2102,0,0.0132
CP-076,IW600-MS-CG-009,0,0,0.1545,0,0.0305,0,0.032
CP-045,IW600-MS-MH-009,0,0,0.1327,0,0.0407,0,0.0262
